section,group,text,spoken,status,source
Quick Phrases / Quick Words,Medical / Urgent,TT Suction,TT Suction,Displayed card; opens phrases,src/services/careContentPresets.ts
Quick Phrases / Quick Words,Medical / Urgent → TT Suction,Do TT suction,Do TT suction,Displayed,src/services/careContentPresets.ts
Quick Phrases / Quick Words,Medical / Urgent → TT Suction,Remove secretions from suction side,Remove secretions from suction side,Displayed,src/services/careContentPresets.ts
Quick Phrases / Quick Words,Medical / Urgent → TT Suction,Check the trach tube,Check the trach tube,Displayed,src/services/careContentPresets.ts
Quick Phrases / Quick Words,Medical / Urgent → TT Suction,I am feeling some obstruction,I am feeling some obstruction,Displayed,src/services/careContentPresets.ts
Quick Phrases / Quick Words,Medical / Urgent,Oral Suction,Oral Suction,Displayed card; opens phrases,src/services/careContentPresets.ts
Quick Phrases / Quick Words,Medical / Urgent → Oral Suction,Do oral suction,Do oral suction,Displayed,src/services/careContentPresets.ts
Quick Phrases / Quick Words,Medical / Urgent → Oral Suction,There is saliva in my mouth,There is saliva in my mouth,Displayed,src/services/careContentPresets.ts
Quick Phrases / Quick Words,Medical / Urgent → Oral Suction,Do oral care and clean my teeth,Do oral care and clean my teeth,Displayed,src/services/careContentPresets.ts
Quick Phrases / Quick Words,Medical / Urgent → Oral Suction,I am choking on secretions,I am choking on secretions,Displayed,src/services/careContentPresets.ts
Quick Phrases / Quick Words,Medical / Urgent → Oral Suction,Come quickly,Come quickly,Configured but hidden: picker limit is 4,src/services/careContentPresets.ts
Quick Phrases / Quick Words,Medical / Urgent,Breathing / Ambu,Breathing / Ambu,Displayed card; opens phrases,src/services/careContentPresets.ts
Quick Phrases / Quick Words,Medical / Urgent → Breathing / Ambu,I am having trouble breathing,I am having trouble breathing,Displayed,src/services/careContentPresets.ts
Quick Phrases / Quick Words,Medical / Urgent → Breathing / Ambu,Use the Ambu bag,Use the Ambu bag,Displayed,src/services/careContentPresets.ts
Quick Phrases / Quick Words,Medical / Urgent → Breathing / Ambu,Check oxygen support,Check oxygen support,Displayed,src/services/careContentPresets.ts
Quick Phrases / Quick Words,Medical / Urgent → Breathing / Ambu,Check TT cuff pressure,Check TT cuff pressure,Displayed,src/services/careContentPresets.ts
Quick Phrases / Quick Words,Medical / Urgent → Breathing / Ambu,Call nurse now,Call nurse now,Configured but hidden: picker limit is 4,src/services/careContentPresets.ts
